ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
10017  -1997.493652  -50.000221  -9625.0  157.384308 | -1997.493652  -50.000221  -9625.0  133.909927 | 145.6471175
10018  -1997.493652  -50.000221  -9875.0  158.305389 | -1997.493652  -50.000221  -9875.0  134.156418 | 146.2309035
10019  -1997.493652  -50.000221  -10125.0  158.833374 | -1997.493652  -50.000221  -10125.0  133.973938 | 146.403656
10020  -1997.493652  -50.000221  -10375.0  158.824448 | -1997.493652  -50.000221  -10375.0  133.341721 | 146.08308449999998
10021  -1997.493652  -50.000221  -10625.0  158.293137 | -1997.493652  -50.000221  -10625.0  132.16153 | 145.2273335
10022  -1997.493652  -50.000221  -10875.00097  157.100479 | -1997.493652  -50.000221  -10875.00097  130.478043 | 143.789261
10023  -1997.493652  -50.000221  -11125.00097  155.330566 | -1997.493652  -50.000221  -11125.00097  128.23851 | 141.784538
10024  -1997.493652  -50.000221  -11375.0  152.912781 | -1997.493652  -50.000221  -11375.0  125.635574 | 139.2741775
10025  -1997.493652  -50.000221  -11625.0  150.050644 | -1997.493652  -50.000221  -11625.0  122.765671 | 136.40815750000002
10026  -1997.493652  -50.000221  -11875.0  146.841354 | -1997.493652  -50.000221  -11875.0  120.082741 | 133.46204749999998
10027  -1997.493652  -50.000221  -12125.0  143.588287 | -1997.493652  -50.000221  -12125.0  117.958649 | 130.773468
10028  -1997.493652  -50.000221  -12375.0  140.555527 | -1997.493652  -50.000221  -12375.0  117.01535 | 128.7854385
10029  -1997.493652  -50.000221  -12625.0  137.474289 | -1997.493652  -50.000221  -12625.0  117.358902 | 127.4165955
10030  -1997.493652  -50.000221  -12875.0  133.907776 | -1997.493652  -50.000221  -12875.0  118.900856 | 126.40431600000001
10031  -1997.493652  -50.000221  -13124.99804  130.242111 | -1997.493652  -50.000221  -13124.99804  120.228081 | 125.235096
10032  -1997.493652  -50.000221  -13374.99902  117.823769 | -1997.493652  -50.000221  -13374.99902  112.730423 | 115.277096
849  -1994.935791  57.882427  -26125.0  55.693188 | -1994.935791  57.882427  -26125.0  65.874039 | 60.7836135
850  -1994.935791  57.882427  -26375.0  62.682182 | -1994.935791  57.882427  -26375.0  65.565346 | 64.123764
851  -1994.935791  57.882427  -26625.0  52.16354 | -1994.935791  57.882427  -26625.0  59.843227 | 56.0033835
852  -1994.935791  57.882427  -26875.0  46.60931 | -1994.935791  57.882427  -26875.0  51.933723 | 49.271516500000004
853  -1994.935791  57.882427  -27125.0  42.702328 | -1994.935791  57.882427  -27125.0  47.128796 | 44.915562
854  -1994.935791  57.882427  -27375.0  40.559505 | -1994.935791  57.882427  -27375.0  43.696644 | 42.1280745
855  -1994.935791  57.882427  -27625.0  40.275414 | -1994.935791  57.882427  -27625.0  41.384171 | 40.829792499999996
856  -1994.935791  57.882427  -27875.0  39.933224 | -1994.935791  57.882427  -27875.0  39.600361 | 39.7667925
857  -1994.935791  57.882427  -28125.0  39.194069 | -1994.935791  57.882427  -28125.0  37.400742 | 38.297405499999996
858  -1994.935791  57.882427  -28375.0  37.010246 | -1994.935791  57.882427  -28375.0  34.485634 | 35.74794
859  -1994.935791  57.882427  -28625.0  33.682823 | -1994.935791  57.882427  -28625.0  30.597511 | 32.140167
860  -1994.935791  57.882427  -28875.0  28.950039 | -1994.935791  57.882427  -28875.0  25.829714 | 27.3898765
861  -1994.935791  57.882427  -29125.0  23.924139 | -1994.935791  57.882427  -29125.0  20.904346 | 22.4142425
862  -1994.935791  57.882427  -29375.0  19.438267 | -1994.935791  57.882427  -29375.0  16.736395 | 18.087331
863  -1994.935791  57.882427  -29625.0  17.565308 | -1994.935791  57.882427  -29625.0  15.785386 | 16.675347000000002
864  -1994.935791  57.882427  -29875.0  16.889257 | -1994.935791  57.882427  -29875.0  16.733223 | 16.811239999999998
